service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"TA+b00cc","1","1","1","1","1","0","0","20190816","20200307"
"TA+b004f","1","1","1","1","1","0","0","20190816","20200307"
"TA+b00bw","1","1","1","1","1","0","0","20190816","20200307"
"TA+b004b","1","1","1","1","1","1","0","20190816","20200307"
"TA+b006s","1","1","1","1","1","1","0","20190816","20200307"
"TA+b004n","0","0","0","0","0","0","1","20190816","20200307"
"TA+b00dv","1","1","1","1","1","1","0","20190816","20200307"
"TA+b00d1","1","1","1","1","1","1","0","20190816","20200307"
"TA+b00bo","1","1","1","1","1","1","0","20190816","20200307"
"TA+b00e1","0","0","0","0","0","1","0","20190816","20200307"
"TA+b00du","1","1","1","1","1","1","0","20190816","20200307"
"TA+b00bt","0","0","0","0","0","0","1","20190816","20200307"
"TA+b00ea","0","0","0","0","0","1","0","20190816","20200307"
"TA+b009s","0","0","0","0","0","1","0","20190816","20200307"
"TA+b005r","0","0","0","0","0","0","1","20190816","20200307"
"TA+b00a0","0","0","0","0","0","1","0","20190816","20200307"
"TA+b00ah","0","0","0","0","0","0","1","20190816","20200307"
"TA+b00ad","0","0","0","0","0","1","0","20190816","20200307"
"TA+b009v","0","0","0","0","0","1","0","20190816","20200307"
"TA+b004l","0","0","0","0","0","0","1","20190816","20200307"
"TA+b00cw","1","1","1","1","1","1","0","20190816","20200307"
"TA+b007f","0","0","0","0","0","0","1","20190816","20200307"
"TA+b00b5","0","0","0","0","0","0","1","20190816","20200307"
"TA+b00b3","0","0","0","0","0","0","1","20190816","20200307"
"TA+b00dr","1","1","1","1","1","1","0","20190816","20200307"
"TA+b00da","1","1","1","1","1","1","0","20190816","20200307"
"TA+b006m","1","0","0","0","0","0","0","20190816","20200307"
"TA+b004i","0","0","0","0","0","1","0","20190816","20200307"
"TA+b00cq","1","0","0","0","0","0","0","20190816","20200307"
"TA+b00br","0","0","0","0","0","1","0","20190816","20200307"
"TA+b004o","1","1","1","1","1","0","0","20190816","20200307"
"TA+b004s","1","1","1","1","0","0","0","20190816","20200307"
"TA+b004u","0","0","0","0","1","0","0","20190816","20200307"
"TA+b006j","0","0","0","0","0","1","0","20190816","20200307"
"TA+b004r","0","0","0","0","0","1","0","20190816","20200307"
"TA+b0052","1","1","1","1","0","0","0","20190816","20200307"
"TA+b005a","0","0","0","0","1","0","0","20190816","20200307"
"TA+b005h","0","0","0","0","0","1","0","20190816","20200307"
"TA+b00bq","1","1","1","1","1","0","0","20190816","20200307"
"TA+b00by","0","0","0","0","0","1","0","20190816","20200307"
"TA+b00co","1","1","1","1","0","1","0","20190816","20200307"
"TA+b00c3","0","0","0","0","1","0","0","20190816","20200307"
"TA+b006b","1","1","1","1","1","0","0","20190816","20200307"
"TA+b006e","0","0","0","0","0","0","1","20190816","20200307"
"TA+b00cm","0","0","0","0","0","0","1","20190816","20200307"
"TA+b00b4","0","0","0","0","0","0","1","20190816","20200307"
"TA+b00b2","0","0","0","0","0","0","1","20190816","20200307"
"TA+b009t","0","0","1","0","0","0","0","20190816","20200307"
"TA+b00e7","0","0","0","0","0","0","1","20190816","20200307"
"TA+b00ag","0","0","0","0","0","1","0","20190816","20200307"
"TA+b0063","1","1","1","1","1","1","0","20190816","20200307"
"TA+b00e2","1","1","1","1","1","1","0","20190816","20200307"
"TA+b00eb","1","1","1","1","1","1","0","20190816","20200307"
"TA+b00b7","1","1","1","1","1","1","0","20190816","20200307"
"TA+b00ee","1","0","0","0","0","0","0","20190816","20200307"
"TA+b009y","0","0","0","1","0","0","0","20190816","20200307"
"TA+b00e8","0","0","0","0","1","0","0","20190816","20200307"
"TA+b00e0","0","0","0","0","0","0","1","20190816","20200307"
"TA+b00e5","1","0","0","0","0","0","0","20190816","20200307"
"TA+b00ca","1","1","1","1","1","1","0","20190816","20200307"
"TA+b00ai","1","1","1","1","0","0","0","20190816","20200307"
"TA+b00aj","1","1","1","1","0","0","0","20190816","20200307"
"TA+b00ak","0","0","0","0","1","0","0","20190816","20200307"
"TA+b00al","0","0","0","0","1","0","0","20190816","20200307"
"TA+b00am","1","1","1","1","0","0","0","20190816","20200307"
"TA+b00an","1","1","1","1","0","0","0","20190816","20200307"
"TA+b00ao","1","1","1","1","0","0","0","20190816","20200307"
"TA+b00ap","1","1","1","1","0","0","0","20190816","20200307"
"TA+b00aq","1","1","1","1","0","0","0","20190816","20200307"
"TA+b00ar","0","0","0","0","1","0","0","20190816","20200307"
"TA+b00as","0","0","0","0","1","0","0","20190816","20200307"
"TA+b00at","0","0","0","0","1","0","0","20190816","20200307"
"TA+b00au","0","0","0","0","1","0","0","20190816","20200307"
"TA+b00av","0","0","0","0","1","0","0","20190816","20200307"
"TA+b00aw","0","0","0","0","0","1","0","20190816","20200307"
"TA+b00ax","0","0","0","0","0","1","0","20190816","20200307"
"TA+b00a1","1","1","1","1","0","0","0","20190816","20200307"
"TA+b00a2","0","0","0","0","1","0","0","20190816","20200307"
"TA+b00a3","0","0","0","0","0","1","0","20190816","20200307"
"TA+b0074","0","0","0","0","0","0","1","20190816","20200307"
"TA+b00b0","0","0","0","0","0","0","1","20190816","20200307"
"TA+b00b1","0","0","0","0","0","0","1","20190816","20200307"
"TA+b00cg","1","1","1","1","0","1","0","20190816","20200307"
"TA+b00ci","0","0","0","0","0","0","1","20190816","20200307"
"TA+b00ck","1","1","1","1","1","1","0","20190816","20200307"
