service_id,date,exception_type
"TA+b004b","20191021","2"
"TA+b004b","20191022","2"
"TA+b004b","20191023","2"
"TA+b004b","20191024","2"
"TA+b004b","20191025","2"
"TA+b004b","20191026","2"
"TA+b004b","20191028","2"
"TA+b004b","20191029","2"
"TA+b004b","20191030","2"
"TA+b004b","20191031","2"
"TA+b004b","20191101","2"
"TA+b004b","20191102","2"
"TA+b004b","20191104","2"
"TA+b004b","20191105","2"
"TA+b004b","20191106","2"
"TA+b004b","20191107","2"
"TA+b004b","20191108","2"
"TA+b004b","20191109","2"
"TA+b004b","20191111","2"
"TA+b004b","20191112","2"
"TA+b004b","20191113","2"
"TA+b004b","20191114","2"
"TA+b004b","20191115","2"
"TA+b004b","20191116","2"
"TA+b004b","20191118","2"
"TA+b004b","20191119","2"
"TA+b004b","20191120","2"
"TA+b004b","20191121","2"
"TA+b004b","20191122","2"
"TA+b004b","20191123","2"
"TA+b004b","20191125","2"
"TA+b004b","20191126","2"
"TA+b004b","20191127","2"
"TA+b004b","20191128","2"
"TA+b004b","20191129","2"
"TA+b004b","20191130","2"
"TA+b004b","20191202","2"
"TA+b004b","20191203","2"
"TA+b004b","20191204","2"
"TA+b004b","20191205","2"
"TA+b004b","20191206","2"
"TA+b004b","20191207","2"
"TA+b004b","20191209","2"
"TA+b004b","20191210","2"
"TA+b004b","20191211","2"
"TA+b004b","20191212","2"
"TA+b004b","20191213","2"
"TA+b004b","20191214","2"
"TA+b004b","20191216","2"
"TA+b004b","20191217","2"
"TA+b004b","20191218","2"
"TA+b004b","20191219","2"
"TA+b004b","20191220","2"
"TA+b004b","20191221","2"
"TA+b004b","20191223","2"
"TA+b004b","20191224","2"
"TA+b004b","20191225","2"
"TA+b004b","20191226","2"
"TA+b004b","20191227","2"
"TA+b004b","20191228","2"
"TA+b004b","20191230","2"
"TA+b004b","20191231","2"
"TA+b004b","20200101","2"
"TA+b004b","20200102","2"
"TA+b004b","20200103","2"
"TA+b004b","20200104","2"
"TA+b004b","20200106","2"
"TA+b004b","20200107","2"
"TA+b004b","20200108","2"
"TA+b004b","20200109","2"
"TA+b004b","20200110","2"
"TA+b004b","20200111","2"
"TA+b004b","20200113","2"
"TA+b004b","20200114","2"
"TA+b004b","20200115","2"
"TA+b004b","20200116","2"
"TA+b004b","20200117","2"
