from_stop_id,to_stop_id,transfer_type,min_transfer_time
"851GA00001","851GA00002","3",""
"822GA00003","822GA00004","3",""
"822GA00004","822GA00003","3",""
"822GA00007","822GA00008","3",""
"822GA00008","822GA00007","3",""
"822GA00011","822GA00012","3",""
"822GA00012","822GA00011","3",""
"822GA00015","822GA00016","3",""
"822GA00016","822GA00015","3",""
"822GA00019","822GA00020","3",""
"822GA00020","822GA00019","3",""
"824GA00025","824GA00027","3",""
"824GA00025","824GA00028","3",""
"824GA00027","824GA00025","3",""
"824GA00027","824GA00028","3",""
"824GA00028","824GA00025","3",""
"824GA00028","824GA00027","3",""
"824GA00032","824GA00033","3",""
"824GA00033","824GA00032","3",""
"824GA00039","824GA00040","3",""
"824GA00040","824GA00039","3",""
"823GA00043","823GA00045","3",""
"823GA00045","823GA00043","3",""
"849GA00003","849GA00004","2","120"
"849GA00004","849GA00003","2","120"
"844GA00003","844GA00004","2","60"
"844GA00004","844GA00003","2","60"
"835GA00008","835GA00009","3",""
"835GA00009","835GA00008","3",""
"832GA00004","832GA00005","3",""
"832GA00005","832GA00004","3",""
"839GA00003","839GA00004","2","60"
"839GA00004","839GA00003","2","60"
"822GA00052","822GA00053","3",""
"822GA00053","822GA00052","3",""
"842GA00008","842GA00009","3",""
"842GA00009","842GA00008","3",""
"822GA00065","822GA00066","3",""
"822GA00065","822GA00171","3",""
"822GA00065","822GA00172","3",""
"822GA00065","822GA00173","3",""
"822GA00066","822GA00065","3",""
"822GA00066","822GA00171","3",""
"822GA00066","822GA00172","3",""
"822GA00066","822GA00173","3",""
"822GA00079","822GA00080","3",""
"822GA00080","822GA00079","3",""
"847GA00010","847GA00011","3",""
"847GA00011","847GA00010","3",""
"833GA00006","833GA00007","3",""
"833GA00007","833GA00006","3",""
"851GA00002","851GA00001","3",""
"825GA00088","825GA00089","3",""
"825GA00089","825GA00088","3",""
"826GA00004","826GA00005","3",""
"826GA00005","826GA00004","3",""
"825GA00094","825GA00095","3",""
"825GA00095","825GA00094","3",""
"822GA00099","822GA00100","3",""
"822GA00100","822GA00099","3",""
"824GA00104","824GA00105","3",""
"824GA00105","824GA00104","3",""
"825GA00109","825GA00110","3",""
"825GA00110","825GA00109","3",""
"825GA00113","825GA00114","3",""
"849GA00010","849GA00011","3",""
"825GA00114","825GA00113","3",""
"849GA00011","849GA00010","3",""
"846GA00019","846GA00020","3",""
"846GA00020","846GA00019","3",""
"825GA00117","825GA00118","3",""
"825GA00118","825GA00117","3",""
"826GA00010","826GA00011","3",""
"826GA00011","826GA00010","3",""
"838GA00004","838GA00005","3",""
"838GA00005","838GA00004","3",""
"825GA00123","825GA00124","3",""
"825GA00124","825GA00123","3",""
"825GA00128","825GA00129","3",""
"825GA00129","825GA00128","3",""
"850GA00004","850GA00005","3",""
"850GA00005","850GA00004","3",""
"835GA00014","835GA00015","3",""
"835GA00015","835GA00014","3",""
"843GA00020","843GA00021","3",""
"843GA00021","843GA00020","3",""
"838GA00008","838GA00009","3",""
"838GA00009","838GA00008","3",""
"824GA00133","824GA00134","3",""
"824GA00134","824GA00133","3",""
"838GA00012","838GA00013","2","900"
"838GA00013","838GA00012","2","900"
"822GA00137","822GA00138","3",""
"822GA00138","822GA00137","3",""
"849GA00017","849GA00018","3",""
"849GA00018","849GA00017","3",""
"823GA00410","823GA00143","2","60"
"823GA00410","823GA00144","3",""
"823GA00143","823GA00410","2","60"
"823GA00143","823GA00144","3",""
"823GA00144","823GA00410","3",""
"823GA00144","823GA00143","3",""
"822GA00149","822GA00150","2","60"
"822GA00150","822GA00149","2","60"
"843GA00024","843GA00025","3",""
"843GA00025","843GA00024","3",""
"824GA00156","824GA00157","2","120"
"824GA00157","824GA00156","2","120"
"824GA00162","824GA00163","3",""
"824GA00163","824GA00162","3",""
"822GA00171","822GA00065","3",""
"822GA00171","822GA00066","3",""
"822GA00171","822GA00172","3",""
"822GA00171","822GA00173","3",""
"822GA00172","822GA00065","3",""
"822GA00172","822GA00066","3",""
"822GA00172","822GA00171","3",""
"822GA00172","822GA00173","2","60"
"822GA00173","822GA00065","3",""
"822GA00173","822GA00066","3",""
"822GA00173","822GA00171","3",""
"822GA00173","822GA00172","2","60"
"837GA00022","837GA00023","2","60"
"837GA00023","837GA00022","2","60"
"839GA00009","839GA00010","3",""
"839GA00010","839GA00009","3",""
"850GA00010","850GA00011","3",""
"850GA00011","850GA00010","3",""
"825GA00180","825GA00181","3",""
"825GA00181","825GA00180","3",""
"822GA00184","822GA00185","2","60"
"822GA00185","822GA00184","2","60"
"830GA00003","830GA00004","3",""
"830GA00004","830GA00003","3",""
"834GA00017","834GA00018","3",""
"834GA00018","834GA00017","3",""
"824GA00190","824GA00192","3",""
"848GA00007","848GA00008","3",""
"848GA00008","848GA00007","3",""
"824GA00192","824GA00190","3",""
