route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"99-1-r11-1","TA+b004b","1338.TA.99-1-r11-1.27.O","99-1-r11-1.27.O","","0"
"99-1-r11-1","TA+b004b","1355.TA.99-1-r11-1.27.O","99-1-r11-1.27.O","","0"
"99-1-r11-1","TA+b004b","1356.TA.99-1-r11-1.27.O","99-1-r11-1.27.O","","0"
"99-1-r11-1","TA+b004b","1351.TA.99-1-r11-1.27.O","99-1-r11-1.27.O","","0"
"99-1-r11-1","TA+b004b","1352.TA.99-1-r11-1.27.O","99-1-r11-1.27.O","","0"
"99-1-r11-1","TA+b004b","1.TA.99-1-r11-1.1.I","99-1-r11-1.1.I","","1"
"99-1-r11-1","TA+b004b","3.TA.99-1-r11-1.1.I","99-1-r11-1.1.I","","1"
"99-1-r11-1","TA+b004b","6.TA.99-1-r11-1.1.I","99-1-r11-1.1.I","","1"
"99-1-r11-1","TA+b004b","7.TA.99-1-r11-1.1.I","99-1-r11-1.1.I","","1"
"99-11-r11-1","TA+b004b","233.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b004b","235.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b004b","239.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b004b","243.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b004b","247.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b004b","255.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b004b","256.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b004b","258.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b004b","259.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
